Time (Seconds), 0 RightEyeX, 0 RightEyeY, 0 RightEyeZ, 0 LeftEyeX, 0 LeftEyeY, 0 LeftEyeZ, 0 RightPupilX, 0 RightPupilY, 0 RightPupilZ, 0 LeftPupilX, 0 LeftPupilY, 0 LeftPupilZ, 0 VergenceX, 0 VergenceY, 0 VergenceZ, 0 HeadX, 0 HeadY, 0 HeadZ, 0 HeadRotationX, 0 HeadRotationY, 0 HeadRotationZ, 2 RightEyeX, 2 RightEyeY, 2 RightEyeZ, 2 LeftEyeX, 2 LeftEyeY, 2 LeftEyeZ, 2 RightPupilX, 2 RightPupilY, 2 RightPupilZ, 2 LeftPupilX, 2 LeftPupilY, 2 LeftPupilZ, 2 VergenceX, 2 VergenceY, 2 VergenceZ, 2 HeadX, 2 HeadY, 2 HeadZ, 2 HeadRotationX, 2 HeadRotationY, 2 HeadRotationZ, StandardDeviation Absolute, StandardDeviationX, StandardDeviationY, StandardDeviationZ, StandardDeviation Sample Size, 
0, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, , , , , , 
0, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, 0, 0, 0, 0, 0, 
0.0166667, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, , , , , , 
0.0333334, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, , , , , , 
0.0500001, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, , , , , , 
0.0666668, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, , , , , , 
0.08333351, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, , , , , , 
0.1000002, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, 0, 0, 0, 0, 0, 
0.1166669, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, , , , , , 
0.1333336, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, , , , , , 
0.1500003, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0.13, 0.79, 0.4, 0, 0, 0, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, -0.13, 0.79, -0.4, 0, 3.141593, 0, , , , , , 
